"target","ids","date","flag","user","text"
0,1956850770,"Thu May 28 22:51:08 PDT 2009","NO_QUERY","sheilayohanny","feels like want to hug my mom sooo tight! i'll miss her "
1,2058945130,"Sat Jun 06 15:56:32 PDT 2009","NO_QUERY","ashleychante","At Benihana with my man for our annivesary "
0,1957738949,"Fri May 29 01:27:19 PDT 2009","NO_QUERY","Memset_Martyn","Some of the figures quoted are so wildly optimistic, they are the stuff of science fiction.  A bit disapointed in CIBER and SABIP "
1,1961443031,"Fri May 29 09:30:38 PDT 2009","NO_QUERY","PutriPratiwi","gossip-ing after the final exam is really good "
1,1836007574,"Mon May 18 07:11:30 PDT 2009","NO_QUERY","bryanyale","@LaurenDAria you love your "
0,2244562779,"Fri Jun 19 14:54:48 PDT 2009","NO_QUERY","marymaygirl","300th tweet ... thinking of chocolate ~x~ sadly not eatings any "
1,1955854137,"Thu May 28 20:44:18 PDT 2009","NO_QUERY","jesscathcart","sibelius is epically good... it will change my life "
0,1967937943,"Fri May 29 20:28:49 PDT 2009","NO_QUERY","KrissyKris725","@RychEnt  noo lol"
1,1794505342,"Thu May 14 05:58:05 PDT 2009","NO_QUERY","carantoarvin","Ciara's really great on Ellen! She's unbelievable!  I had fun watching it!"
1,1880166547,"Fri May 22 00:18:48 PDT 2009","NO_QUERY","joe_carney","PixelApnea � 20 Awesome iPhone Application Websites  http://bit.ly/ssUqb &lt;-- personally recommend things, top app "
0,2285548245,"Mon Jun 22 15:16:08 PDT 2009","NO_QUERY","sspendol","Will be the only APEX user NOT at Mike's 4.0 presentation this afternoon - watching the booth. "
1,2187861749,"Mon Jun 15 20:55:15 PDT 2009","NO_QUERY","claymaker","@bdawgsc Nice!  I swear we have a HGTV studio around here, I see East ATL &amp; Decatur on there quite frequently."
1,1695082802,"Mon May 04 05:08:48 PDT 2009","NO_QUERY","Georgia_Ellis_x","@ddlovato Pleaseee Give Me A Shoutout  Love Georgia (UK)"
0,2006669971,"Tue Jun 02 11:30:35 PDT 2009","NO_QUERY","BrittN1022","My pics won't upload "
0,1972799203,"Sat May 30 09:54:35 PDT 2009","NO_QUERY","alexiss_ox","I've been patiently waiting for the new AP to come, but it still hasn't! I don't know what to do with myself "
1,1983432537,"Sun May 31 13:08:44 PDT 2009","NO_QUERY","PuppyBurns","I overembellish. Just a little too much. Solution? Embellish rediculously so people know im just straight bullshiting "
0,2232834307,"Thu Jun 18 20:27:37 PDT 2009","NO_QUERY","angeliqueisrael","BK once again for the weekend...If it wasnt for the puppy, I'd stay my ass here "
1,1771082847,"Mon May 11 23:08:28 PDT 2009","NO_QUERY","MossyBlog","@csharpzealot have to ask the DPE Oz guys that one. As for the future, I'm hopeful  but who knows how the world shapes up over nxt 2 yrs"
0,2060115066,"Sat Jun 06 18:17:12 PDT 2009","NO_QUERY","wrendi","went to hibatchis... My husband didn't show "
0,1969277545,"Fri May 29 23:32:22 PDT 2009","NO_QUERY","KingSymian","@Scrinner hi. Can I ask how you thought of your username? Its just that i've been using it everywhere only to find you have it over here "
1,1983343774,"Sun May 31 12:58:43 PDT 2009","NO_QUERY","CharmsOfLight","Thank you with love!  @RawFoodNation @EarthLifeShop @OHippieChic @purelovenergy @IndigoSpirit"
0,2262143979,"Sat Jun 20 21:58:01 PDT 2009","NO_QUERY","VittoriaHale","Back from work (finally). Really hoping tomorrow isn't busy, I hate late nights and early mornings "
1,2065751330,"Sun Jun 07 09:13:07 PDT 2009","NO_QUERY","monnaseares","it's just beautiful...aww! nytinyt "
0,2053860361,"Sat Jun 06 05:55:10 PDT 2009","NO_QUERY","CarpoCarp","@binncheol i didnt convert out of choice, my poor zen died, and i got offered a free iPod. "
1,2017400582,"Wed Jun 03 08:19:50 PDT 2009","NO_QUERY","sierra_smile","waiting for some pizza and cinammon stix. sounds delicious "
0,1981576894,"Sun May 31 09:26:50 PDT 2009","NO_QUERY","BlaM4c","@kovshenin Hotlinking is evil  -&gt; Send them 8000x8000px pink images via .htaccess instead! That makes it fun  http://cli.gs/2Epj4v"
0,2213554983,"Wed Jun 17 15:31:53 PDT 2009","NO_QUERY","DarknessHayz","Needs to learn how to spell when tired!!  How can I make a typo that bad "
1,1675863110,"Fri May 01 20:30:34 PDT 2009","NO_QUERY","iroamaround","So full... Ugh. To bed now, derby day tomorrow "
1,1827348158,"Sun May 17 10:31:17 PDT 2009","NO_QUERY","Sarahcecilia91","!!!!! I just saw the FUSE commercial for DMB playing at Beacon Theatre!!  made me super excited!"
0,2302227652,"Tue Jun 23 16:30:49 PDT 2009","NO_QUERY","rschooler","@WannaBeSkinny Ppl who dont make mistakes R ppl who nevr do anything 4 themselves! They wait 4 direction so thr is always sum1 2 blame! "
0,1969847589,"Sat May 30 01:27:17 PDT 2009","NO_QUERY","Sb_kiCkSNdxCks","@Chris_Fed fuckit I'm sad dogg "
0,1557414543,"Sun Apr 19 03:58:32 PDT 2009","NO_QUERY","Rooshey","@JuiceOlive haha ohhh i'm only just watching series three now  it's good though! Ohhh Dex, we love him x"
0,2199359576,"Tue Jun 16 17:23:21 PDT 2009","NO_QUERY","kd38","thinking my cold turned into a sinus infection, my teeth are hurting and I am so exhausted. I can feel it all thru my sinuses "
0,2201945699,"Tue Jun 16 21:00:28 PDT 2009","NO_QUERY","kimmiekaz","How do you sync your # tweet deck columns to the new iphone app? Can't seem to figure that bit out. "
